market,symbol,earliest_date,available_intervals
cm,AAVEUSD_PERP,2021-12-29,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,ADAUSD_250627,2024-12-27,"12h,15m,1d,1h,1m,2h,30m,3m,4h,5m,6h,8h"
cm,ADAUSD_250926,2025-03-28,"12h,15m,1d,1h,1m,2h,30m,3m,4h,5m,6h,8h"
cm,ADAUSD_PERP,2020-08-26,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,ALGOUSD_PERP,2022-03-15,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,APEUSD_PERP,2022-03-28,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,APTUSD_PERP,2022-10-25,"12h,15m,1d,1h,1m,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,ATOMUSD_PERP,2021-12-23,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,AVAXUSD_PERP,2021-11-24,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,AXSUSD_PERP,2022-01-12,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,BCHUSD_250627,2024-12-27,"12h,15m,1d,1h,1m,2h,30m,3m,4h,5m,6h,8h"
cm,BCHUSD_250926,2025-03-28,"12h,15m,1d,1h,1m,2h,30m,3m,4h,5m,6h,8h"
cm,BCHUSD_PERP,2020-09-23,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,BNBUSD_250627,2024-12-27,"12h,15m,1d,1h,1m,2h,30m,3m,4h,5m,6h,8h"
cm,BNBUSD_250926,2025-03-28,"12h,15m,1d,1h,1m,2h,30m,3m,4h,5m,6h,8h"
cm,BNBUSD_PERP,2020-08-21,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,BTCUSD_250627,2024-12-27,"12h,15m,1d,1h,1m,2h,30m,3m,4h,5m,6h,8h"
cm,BTCUSD_250926,2025-03-28,"12h,15m,1d,1h,1m,2h,30m,3m,4h,5m,6h,8h"
cm,BTCUSD_PERP,2020-08-11,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,CHZUSD_PERP,2022-08-18,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,DOGEUSD_PERP,2021-02-02,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,DOGSUSD_PERP,2024-09-10,"12h,15m,1d,1h,1m,2h,30m,3m,4h,5m,6h,8h"
cm,DOTUSD_250627,2024-12-27,"12h,15m,1d,1h,1m,2h,30m,3m,4h,5m,6h,8h"
cm,DOTUSD_250926,2025-03-28,"12h,15m,1d,1h,1m,2h,30m,3m,4h,5m,6h,8h"
cm,DOTUSD_PERP,2020-08-25,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,EGLDUSD_PERP,2020-12-21,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,ENSUSD_PERP,2022-08-02,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,EOSUSD_PERP,2020-09-23,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,ETCUSD_PERP,2020-09-09,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,ETHUSD_250627,2024-12-27,"12h,15m,1d,1h,1m,2h,30m,3m,4h,5m,6h,8h"
cm,ETHUSD_250926,2025-03-28,"12h,15m,1d,1h,1m,2h,30m,3m,4h,5m,6h,8h"
cm,ETHUSD_PERP,2020-08-18,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,FILUSD_PERP,2020-11-02,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,GALAUSD_PERP,2021-12-02,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,GMTUSD_PERP,2022-04-27,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,ICXUSD_PERP,2022-03-14,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,KNCUSD_PERP,2022-04-14,"12h,15m,1d,1h,1m,1mo,1w,2h,30m,3d,3m,4h,5m,6h,8h"
cm,LINKUSD_250627,2024-12-27,"12h,15m,1d,1h,1m,2h,30m,3m,4h,5m,6h,8h"
cm,LINKUSD_250926,2025-03-28,"12h,15m,1d,1h,1m,2h,30m,3m,4h,5m,6h,8h"
