base_symbol,spot_symbol,spot_earliest_date,spot_available_intervals,um_symbol,um_earliest_date,um_available_intervals,cm_symbol,cm_earliest_date,cm_available_intervals
BTC,BTCUSDT,2017-08-17,"12h",,,,,,
ETH,ETHUSDT,2017-08-17,"12h",,,,,,
BNB,BNBUSDT,2017-11-06,"12h",,,,,,
NEO,NEOUSDT,2017-11-20,"12h",,,,,,
LTC,LTCUSDT,2017-12-13,"12h",,,,,,
QTUM,QTUMUSDT,2018-03-19,"12h",,,,,,
ADA,ADAUSDT,2018-04-17,"12h",,,,,,
XRP,XRPUSDT,2018-05-04,"12h",,,,,,
EOS,EOSUSDT,2018-05-28,"12h",,,,,,
IOTA,IOTAUSDT,2018-05-31,"12h",,,,,,
ONT,ONTUSDT,2018-06-08,"12h",,,,,,
TRX,TRXUSDT,2018-06-11,"12h",,,,,,
ETC,ETCUSDT,2018-06-12,"12h",,,,,,
ICX,ICXUSDT,2018-06-13,"12h",,,,,,
NULS,NULSUSDT,2018-07-23,"12h",,,,,,
VET,VETUSDT,2018-07-25,"12h",,,,,,
USDC,USDCUSDT,2018-12-15,"12h",,,,,,
LINK,LINKUSDT,2019-01-16,"12h",,,,,,
ONG,ONGUSDT,2019-02-16,"12h",,,,,,
HOT,HOTUSDT,2019-02-18,"12h",,,,,,
ZIL,ZILUSDT,2019-02-19,"12h",,,,,,
FET,FETUSDT,2019-02-28,"12h",,,,,,
ZRX,ZRXUSDT,2019-02-28,"12h",,,,,,
BAT,BATUSDT,2019-03-04,"12h",,,,,,
ZEC,ZECUSDT,2019-03-21,"12h",,,,,,
IOST,IOSTUSDT,2019-03-22,"12h",,,,,,
CELR,CELRUSDT,2019-03-25,"12h",,,,,,
DASH,DASHUSDT,2019-03-28,"12h",,,,,,
THETA,THETAUSDT,2019-04-10,"12h",,,,,,
ATOM,ATOMUSDT,2019-04-29,"12h",,,,,,
ONE,ONEUSDT,2019-06-01,"12h",,,,,,
ALGO,ALGOUSDT,2019-06-22,"12h",,,,,,
DOGE,DOGEUSDT,2019-07-05,"12h",,,,,,
DUSK,DUSKUSDT,2019-07-22,"12h",,,,,,
ANKR,ANKRUSDT,2019-07-23,"12h",,,,,,
COS,COSUSDT,2019-08-03,"12h",,,,,,
MTL,MTLUSDT,2019-08-23,"12h",,,,,,
CVC,CVCUSDT,2019-08-27,"12h",,,,,,
DENT,DENTUSDT,2019-08-27,"12h",,,,,,
FUN,FUNUSDT,2019-08-27,"12h",,,,,,
CHZ,CHZUSDT,2019-09-06,"12h",,,,,,
BAND,BANDUSDT,2019-09-18,"12h",,,,,,
XTZ,XTZUSDT,2019-09-24,"12h",,,,,,
RVN,RVNUSDT,2019-09-25,"12h",,,,,,
HBAR,HBARUSDT,2019-09-29,"12h",,,,,,
NKN,NKNUSDT,2019-10-11,"12h",,,,,,
KAVA,KAVAUSDT,2019-10-25,"12h",,,,,,
STX,STXUSDT,2019-10-25,"12h",,,,,,
ARPA,ARPAUSDT,2019-11-06,"12h",,,,,,
IOTX,IOTXUSDT,2019-11-14,"12h",,,,,,
RLC,RLCUSDT,2019-11-14,"12h",,,,,,
BCH,BCHUSDT,2019-11-28,"12h",,,,,,
TROY,TROYUSDT,2019-12-05,"12h",,,,,,
FTT,FTTUSDT,2019-12-20,"12h",,,,,,
OGN,OGNUSDT,2020-01-09,"12h",,,,,,
BNT,BNTUSDT,2020-02-06,"12h",,,,,,
LSK,LSKUSDT,2020-02-06,"12h",,,,,,
COTI,COTIUSDT,2020-02-26,"12h",,,,,,
STPT,STPTUSDT,2020-03-25,"12h",,,,,,
CTSI,CTSIUSDT,2020-04-23,"12h",,,,,,
HIVE,HIVEUSDT,2020-04-27,"12h",,,,,,
CHR,CHRUSDT,2020-05-07,"12h",,,,,,
MDT,MDTUSDT,2020-06-05,"12h",,,,,,
KNC,KNCUSDT,2020-06-12,"12h",,,,,,
LRC,LRCUSDT,2020-06-12,"12h",,,,,,
COMP,COMPUSDT,2020-06-25,"12h",,,,,,
SC,SCUSDT,2020-07-06,"12h",,,,,,
ZEN,ZENUSDT,2020-07-06,"12h",,,,,,
SNX,SNXUSDT,2020-07-09,"12h",,,,,,
VTHO,VTHOUSDT,2020-07-17,"12h",,,,,,
DGB,DGBUSDT,2020-07-20,"12h",,,,,,
SXP,SXPUSDT,2020-07-20,"12h",,,,,,
MKR,MKRUSDT,2020-07-23,"12h",,,,,,
STORJ,STORJUSDT,2020-07-30,"12h",,,,,,
MANA,MANAUSDT,2020-08-06,"12h",,,,,,
YFI,YFIUSDT,2020-08-10,"12h",,,,,,
BAL,BALUSDT,2020-08-11,"12h",,,,,,
SOL,SOLUSDT,2020-08-11,"12h",,,,,,
SAND,SANDUSDT,2020-08-14,"12h",,,,,,
CRV,CRVUSDT,2020-08-15,"12h",,,,,,
DOT,DOTUSDT,2020-08-18,"12h",,,,,,
NMR,NMRUSDT,2020-08-19,"12h",,,,,,
RSR,RSRUSDT,2020-08-27,"12h",,,,,,
PAXG,PAXGUSDT,2020-08-28,"12h",,,,,,
TRB,TRBUSDT,2020-08-29,"12h",,,,,,
SUSHI,SUSHIUSDT,2020-09-01,"12h",,,,,,
EGLD,EGLDUSDT,2020-09-03,"12h",,,,,,
DIA,DIAUSDT,2020-09-04,"12h",,,,,,
FIO,FIOUSDT,2020-09-04,"12h",,,,,,
KSM,KSMUSDT,2020-09-04,"12h",,,,,,
RUNE,RUNEUSDT,2020-09-04,"12h",,,,,,
UMA,UMAUSDT,2020-09-09,"12h",,,,,,
BEL,BELUSDT,2020-09-15,"12h",,,,,,
UNI,UNIUSDT,2020-09-17,"12h",,,,,,
OXT,OXTUSDT,2020-09-21,"12h",,,,,,
SUN,SUNUSDT,2020-09-21,"12h",,,,,,
AVAX,AVAXUSDT,2020-09-22,"12h",,,,,,
FLM,FLMUSDT,2020-09-28,"12h",,,,,,
XVS,XVSUSDT,2020-10-06,"12h",,,,,,
ALPHA,ALPHAUSDT,2020-10-10,"12h",,,,,,
NEAR,NEARUSDT,2020-10-14,"12h",,,,,,
AAVE,AAVEUSDT,2020-10-15,"12h",,,,,,
FIL,FILUSDT,2020-10-15,"12h",,,,,,
INJ,INJUSDT,2020-10-21,"12h",,,,,,
CTK,CTKUSDT,2020-10-27,"12h",,,,,,
AXS,AXSUSDT,2020-11-04,"12h",,,,,,
STRAX,STRAXUSDT,2020-11-18,"12h",,,,,,
ROSE,ROSEUSDT,2020-11-19,"12h",,,,,,
AVA,AVAUSDT,2020-11-24,"12h",,,,,,
SKL,SKLUSDT,2020-12-01,"12h",,,,,,
GRT,GRTUSDT,2020-12-17,"12h",,,,,,
1INCH,1INCHUSDT,2020-12-25,"12h",,,,,,
CELO,CELOUSDT,2021-01-05,"12h",,,,,,
RIF,RIFUSDT,2021-01-07,"12h",,,,,,
TRU,TRUUSDT,2021-01-19,"12h",,,,,,
CKB,CKBUSDT,2021-01-26,"12h",,,,,,
TWT,TWTUSDT,2021-01-27,"12h",,,,,,
SFP,SFPUSDT,2021-02-08,"12h",,,,,,
CAKE,CAKEUSDT,2021-02-19,"12h",,,,,,
BADGER,BADGERUSDT,2021-03-02,"12h",,,,,,
OM,OMUSDT,2021-03-08,"12h",,,,,,
DEGO,DEGOUSDT,2021-03-10,"12h",,,,,,
ALICE,ALICEUSDT,2021-03-15,"12h",,,,,,
PERP,PERPUSDT,2021-03-19,"12h",,,,,,
SUPER,SUPERUSDT,2021-03-25,"12h",,,,,,
CFX,CFXUSDT,2021-03-29,"12h",,,,,,
TLM,TLMUSDT,2021-04-13,"12h",,,,,,
FORTH,FORTHUSDT,2021-04-23,"12h",,,,,,
BAKE,BAKEUSDT,2021-04-30,"12h",,,,,,
SLP,SLPUSDT,2021-04-30,"12h",,,,,,
ICP,ICPUSDT,2021-05-11,"12h",,,,,,
AR,ARUSDT,2021-05-14,"12h",,,,,,
MASK,MASKUSDT,2021-05-25,"12h",,,,,,
LPT,LPTUSDT,2021-05-28,"12h",,,,,,
XVG,XVGUSDT,2021-06-06,"12h",,,,,,
ATA,ATAUSDT,2021-06-07,"12h",,,,,,
GTC,GTCUSDT,2021-06-10,"12h",,,,,,
PHA,PHAUSDT,2021-06-25,"12h",,,,,,
MLN,MLNUSDT,2021-07-05,"12h",,,,,,
C98,C98USDT,2021-07-23,"12h",,,,,,
DEXE,DEXEUSDT,2021-07-23,"12h",,,,,,
QNT,QNTUSDT,2021-07-29,"12h",,,,,,
FLOW,FLOWUSDT,2021-07-30,"12h",,,,,,
MINA,MINAUSDT,2021-08-10,"12h",,,,,,
RAY,RAYUSDT,2021-08-10,"12h",,,,,,
ALPACA,ALPACAUSDT,2021-08-11,"12h",,,,,,
QUICK,QUICKUSDT,2021-08-13,"12h",,,,,,
MBOX,MBOXUSDT,2021-08-19,"12h",,,,,,
GHST,GHSTUSDT,2021-08-20,"12h",,,,,,
WAXP,WAXPUSDT,2021-08-23,"12h",,,,,,
DYDX,DYDXUSDT,2021-09-09,"12h",,,,,,
IDEX,IDEXUSDT,2021-09-09,"12h",,,,,,
VIDT,VIDTUSDT,2021-09-09,"12h",,,,,,
GALA,GALAUSDT,2021-09-13,"12h",,,,,,
ILV,ILVUSDT,2021-09-22,"12h",,,,,,
DF,DFUSDT,2021-09-24,"12h",,,,,,
SYS,SYSUSDT,2021-09-24,"12h",,,,,,
YGG,YGGUSDT,2021-09-24,"12h",,,,,,
FIDA,FIDAUSDT,2021-09-30,"12h",,,,,,
AGLD,AGLDUSDT,2021-10-05,"12h",,,,,,
RAD,RADUSDT,2021-10-07,"12h",,,,,,
RARE,RAREUSDT,2021-10-11,"12h",,,,,,
CHESS,CHESSUSDT,2021-10-22,"12h",,,,,,
AUCTION,AUCTIONUSDT,2021-10-29,"12h",,,,,,
MOVR,MOVRUSDT,2021-11-08,"12h",,,,,,
ENS,ENSUSDT,2021-11-10,"12h",,,,,,
POWR,POWRUSDT,2021-11-17,"12h",,,,,,
JASMY,JASMYUSDT,2021-11-22,"12h",,,,,,
SANTOS,SANTOSUSDT,2021-12-01,"12h",,,,,,
BICO,BICOUSDT,2021-12-09,"12h",,,,,,
FLUX,FLUXUSDT,2021-12-10,"12h",,,,,,
FXS,FXSUSDT,2021-12-10,"12h",,,,,,
VOXEL,VOXELUSDT,2021-12-14,"12h",,,,,,
HIGH,HIGHUSDT,2021-12-17,"12h",,,,,,
CVX,CVXUSDT,2021-12-23,"12h",,,,,,
PEOPLE,PEOPLEUSDT,2021-12-23,"12h",,,,,,
SPELL,SPELLUSDT,2021-12-24,"12h",,,,,,
JOE,JOEUSDT,2021-12-28,"12h",,,,,,
ACH,ACHUSDT,2022-01-10,"12h",,,,,,
IMX,IMXUSDT,2022-01-10,"12h",,,,,,
GLMR,GLMRUSDT,2022-01-11,"12h",,,,,,
LOKA,LOKAUSDT,2022-01-20,"12h",,,,,,
API3,API3USDT,2022-01-21,"12h",,,,,,
SCRT,SCRTUSDT,2022-01-21,"12h",,,,,,
WOO,WOOUSDT,2022-02-08,"12h",,,,,,
T,TUSDT,2022-02-25,"12h",,,,,,
ASTR,ASTRUSDT,2022-02-28,"12h",,,,,,
GMT,GMTUSDT,2022-03-09,"12h",,,,,,
KDA,KDAUSDT,2022-03-11,"12h",,,,,,
APE,APEUSDT,2022-03-17,"12h",,,,,,
BSW,BSWUSDT,2022-03-21,"12h",,,,,,
STEEM,STEEMUSDT,2022-04-22,"12h",,,,,,
REI,REIUSDT,2022-05-04,"12h",,,,,,
LDO,LDOUSDT,2022-05-09,"12h",,,,,,
OP,OPUSDT,2022-06-01,"12h",,,,,,
LEVER,LEVERUSDT,2022-07-13,"12h",,,,,,
STG,STGUSDT,2022-08-19,"12h",,,,,,
GMX,GMXUSDT,2022-10-05,"12h",,,,,,
POLYX,POLYXUSDT,2022-10-17,"12h",,,,,,
APT,APTUSDT,2022-10-19,"12h",,,,,,
HFT,HFTUSDT,2022-11-07,"12h",,,,,,
PHB,PHBUSDT,2022-11-18,"12h",,,,,,
HOOK,HOOKUSDT,2022-12-01,"12h",,,,,,
MAGIC,MAGICUSDT,2022-12-12,"12h",,,,,,
HIFI,HIFIUSDT,2023-01-12,"12h",,,,,,
RPL,RPLUSDT,2023-01-18,"12h",,,,,,
SYN,SYNUSDT,2023-02-22,"12h",,,,,,
SSV,SSVUSDT,2023-02-24,"12h",,,,,,
LQTY,LQTYUSDT,2023-02-28,"12h",,,,,,
USTC,USTCUSDT,2023-03-10,"12h",,,,,,
GAS,GASUSDT,2023-03-17,"12h",,,,,,
GLM,GLMUSDT,2023-03-17,"12h",,,,,,
PROM,PROMUSDT,2023-03-17,"12h",,,,,,
ID,IDUSDT,2023-03-22,"12h",,,,,,
ARB,ARBUSDT,2023-03-23,"12h",,,,,,
RDNT,RDNTUSDT,2023-03-30,"12h",,,,,,
EDU,EDUUSDT,2023-04-28,"12h",,,,,,
SUI,SUIUSDT,2023-05-03,"12h",,,,,,
SNT,SNTUSDT,2023-05-19,"12h",,,,,,
MAV,MAVUSDT,2023-06-28,"12h",,,,,,
PENDLE,PENDLEUSDT,2023-07-03,"12h",,,,,,
ARKM,ARKMUSDT,2023-07-18,"12h",,,,,,
WLD,WLDUSDT,2023-07-24,"12h",,,,,,
CYBER,CYBERUSDT,2023-08-15,"12h",,,,,,
SEI,SEIUSDT,2023-08-15,"12h",,,,,,
ARK,ARKUSDT,2023-09-22,"12h",,,,,,
NTRN,NTRNUSDT,2023-10-10,"12h",,,,,,
TIA,TIAUSDT,2023-10-31,"12h",,,,,,
MEME,MEMEUSDT,2023-11-03,"12h",,,,,,
ORDI,ORDIUSDT,2023-11-07,"12h",,,,,,
BEAMX,BEAMXUSDT,2023-11-14,"12h",,,,,,
BLUR,BLURUSDT,2023-11-24,"12h",,,,,,
VIC,VICUSDT,2023-11-24,"12h",,,,,,
VANRY,VANRYUSDT,2023-12-01,"12h",,,,,,
JTO,JTOUSDT,2023-12-07,"12h",,,,,,
1000SATS,1000SATSUSDT,2023-12-12,"12h",,,,,,
ACE,ACEUSDT,2023-12-18,"12h",,,,,,
NFP,NFPUSDT,2023-12-27,"12h",,,,,,
AI,AIUSDT,2024-01-04,"12h",,,,,,
XAI,XAIUSDT,2024-01-09,"12h",,,,,,
MANTA,MANTAUSDT,2024-01-18,"12h",,,,,,
ALT,ALTUSDT,2024-01-25,"12h",,,,,,
JUP,JUPUSDT,2024-01-31,"12h",,,,,,
PYTH,PYTHUSDT,2024-02-02,"12h",,,,,,
RONIN,RONINUSDT,2024-02-05,"12h",,,,,,
DYM,DYMUSDT,2024-02-06,"12h",,,,,,
PIXEL,PIXELUSDT,2024-02-19,"12h",,,,,,
STRK,STRKUSDT,2024-02-20,"12h",,,,,,
PORTAL,PORTALUSDT,2024-02-29,"12h",,,,,,
AXL,AXLUSDT,2024-03-01,"12h",,,,,,
WIF,WIFUSDT,2024-03-05,"12h",,,,,,
METIS,METISUSDT,2024-03-11,"12h",,,,,,
AEVO,AEVOUSDT,2024-03-13,"12h",,,,,,
BOME,BOMEUSDT,2024-03-16,"12h",,,,,,
ETHFI,ETHFIUSDT,2024-03-18,"12h",,,,,,
ENA,ENAUSDT,2024-04-02,"12h",,,,,,
W,WUSDT,2024-04-03,"12h",,,,,,
TNSR,TNSRUSDT,2024-04-08,"12h",,,,,,
SAGA,SAGAUSDT,2024-04-09,"12h",,,,,,
TAO,TAOUSDT,2024-04-11,"12h",,,,,,
OMNI,OMNIUSDT,2024-04-17,"12h",,,,,,
REZ,REZUSDT,2024-04-30,"12h",,,,,,
BB,BBUSDT,2024-05-13,"12h",,,,,,
NOT,NOTUSDT,2024-05-16,"12h",,,,,,
IO,IOUSDT,2024-06-11,"12h",,,,,,
ZK,ZKUSDT,2024-06-17,"12h",,,,,,
LISTA,LISTAUSDT,2024-06-20,"12h",,,,,,
ZRO,ZROUSDT,2024-06-20,"12h",,,,,,
G,GUSDT,2024-07-19,"12h",,,,,,
BANANA,BANANAUSDT,2024-07-20,"12h",,,,,,
RENDER,RENDERUSDT,2024-07-26,"12h",,,,,,
TON,TONUSDT,2024-08-08,"12h",,,,,,
DOGS,DOGSUSDT,2024-08-26,"12h",,,,,,
POL,POLUSDT,2024-09-13,"12h",,,,,,
1MBABYDOGE,1MBABYDOGEUSDT,2024-09-16,"12h",,,,,,
NEIRO,NEIROUSDT,2024-09-16,"12h",,,,,,
TURBO,TURBOUSDT,2024-09-16,"12h",,,,,,
CATI,CATIUSDT,2024-09-20,"12h",,,,,,
HMSTR,HMSTRUSDT,2024-09-26,"12h",,,,,,
EIGEN,EIGENUSDT,2024-10-01,"12h",,,,,,
SCR,SCRUSDT,2024-10-11,"12h",,,,,,
LUMIA,LUMIAUSDT,2024-10-18,"12h",,,,,,
KAIA,KAIAUSDT,2024-10-31,"12h",,,,,,
CETUS,CETUSUSDT,2024-11-06,"12h",,,,,,
COW,COWUSDT,2024-11-06,"12h",,,,,,
ACT,ACTUSDT,2024-11-11,"12h",,,,,,
PNUT,PNUTUSDT,2024-11-11,"12h",,,,,,
USUAL,USUALUSDT,2024-11-19,"12h",,,,,,
THE,THEUSDT,2024-11-27,"12h",,,,,,
ACX,ACXUSDT,2024-12-06,"12h",,,,,,
ORCA,ORCAUSDT,2024-12-06,"12h",,,,,,
MOVE,MOVEUSDT,2024-12-09,"12h",,,,,,
ME,MEUSDT,2024-12-10,"12h",,,,,,
VELODROME,VELODROMEUSDT,2024-12-13,"12h",,,,,,
VANA,VANAUSDT,2024-12-16,"12h",,,,,,
1000CAT,1000CATUSDT,2024-12-17,"12h",,,,,,
PENGU,PENGUUSDT,2024-12-17,"12h",,,,,,
BIO,BIOUSDT,2025-01-03,"12h",,,,,,
D,DUSDT,2025-01-09,"12h",,,,,,
AIXBT,AIXBTUSDT,2025-01-10,"12h",,,,,,
CGPT,CGPTUSDT,2025-01-10,"12h",,,,,,
COOKIE,COOKIEUSDT,2025-01-10,"12h",,,,,,
S,SUSDT,2025-01-16,"12h",,,,,,
SOLV,SOLVUSDT,2025-01-17,"12h",,,,,,
TRUMP,TRUMPUSDT,2025-01-19,"12h",,,,,,
ANIME,ANIMEUSDT,2025-01-23,"12h",,,,,,
BERA,BERAUSDT,2025-02-06,"12h",,,,,,
1000CHEEMS,1000CHEEMSUSDT,2025-02-09,"12h",,,,,,
TST,TSTUSDT,2025-02-09,"12h",,,,,,
LAYER,LAYERUSDT,2025-02-11,"12h",,,,,,
HEI,HEIUSDT,2025-02-13,"12h",,,,,,
KAITO,KAITOUSDT,2025-02-20,"12h",,,,,,
SHELL,SHELLUSDT,2025-02-27,"12h",,,,,,
RED,REDUSDT,2025-02-28,"12h",,,,,,
GPS,GPSUSDT,2025-03-04,"12h",,,,,,
EPIC,EPICUSDT,2025-03-13,"12h",,,,,,
BMT,BMTUSDT,2025-03-18,"12h",,,,,,
FORM,FORMUSDT,2025-03-19,"12h",,,,,,
NIL,NILUSDT,2025-03-24,"12h",,,,,,
PARTI,PARTIUSDT,2025-03-25,"12h",,,,,,
BANANAS31,BANANAS31USDT,2025-03-27,"12h",,,,,,
BROCCOLI714,BROCCOLI714USDT,2025-03-27,"12h",,,,,,
MUBARAK,MUBARAKUSDT,2025-03-27,"12h",,,,,,
TUT,TUTUSDT,2025-03-27,"12h",,,,,,
GUN,GUNUSDT,2025-03-31,"12h",,,,,,
BABY,BABYUSDT,2025-04-10,"12h",,,,,,
