market,symbol,earliest_date,available_intervals,base_symbol
spot,BTCUSDT,2017-08-17,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",BTC
spot,ETHUSDT,2017-08-17,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",ETH
spot,BNBUSDT,2017-11-06,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",BNB
spot,NEOUSDT,2017-11-20,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",NEO
spot,LTCUSDT,2017-12-13,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",LTC
spot,QTUMUSDT,2018-03-19,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",QTUM
spot,ADAUSDT,2018-04-17,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",ADA
spot,XRPUSDT,2018-05-04,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",XRP
spot,EOSUSDT,2018-05-28,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",EOS
spot,IOTAUSDT,2018-05-31,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",IOTA
spot,ONTUSDT,2018-06-08,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",ONT
spot,TRXUSDT,2018-06-11,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",TRX
spot,ETCUSDT,2018-06-12,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",ETC
spot,ICXUSDT,2018-06-13,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",ICX
spot,NULSUSDT,2018-07-23,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",NULS
spot,VETUSDT,2018-07-25,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",VET
spot,USDCUSDT,2018-12-15,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",USDC
spot,LINKUSDT,2019-01-16,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",LINK
spot,ONGUSDT,2019-02-16,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",ONG
spot,HOTUSDT,2019-02-18,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",HOT
spot,ZILUSDT,2019-02-19,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",ZIL
spot,FETUSDT,2019-02-28,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",FET
spot,ZRXUSDT,2019-02-28,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",ZRX
spot,BATUSDT,2019-03-04,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",BAT
spot,ZECUSDT,2019-03-21,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",ZEC
spot,IOSTUSDT,2019-03-22,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",IOST
spot,CELRUSDT,2019-03-25,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",CELR
spot,DASHUSDT,2019-03-28,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",DASH
spot,THETAUSDT,2019-04-10,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",THETA
spot,ATOMUSDT,2019-04-29,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",ATOM
spot,ONEUSDT,2019-06-01,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",ONE
spot,ALGOUSDT,2019-06-22,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",ALGO
spot,DOGEUSDT,2019-07-05,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",DOGE
spot,DUSKUSDT,2019-07-22,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",DUSK
spot,ANKRUSDT,2019-07-23,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",ANKR
spot,COSUSDT,2019-08-03,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",COS
spot,MTLUSDT,2019-08-23,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",MTL
spot,CVCUSDT,2019-08-27,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",CVC
spot,DENTUSDT,2019-08-27,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",DENT
spot,FUNUSDT,2019-08-27,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",FUN
spot,CHZUSDT,2019-09-06,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",CHZ
spot,BANDUSDT,2019-09-18,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",BAND
spot,XTZUSDT,2019-09-24,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",XTZ
spot,RVNUSDT,2019-09-25,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",RVN
spot,HBARUSDT,2019-09-29,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",HBAR
spot,NKNUSDT,2019-10-11,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",NKN
spot,KAVAUSDT,2019-10-25,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",KAVA
spot,STXUSDT,2019-10-25,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",STX
spot,ARPAUSDT,2019-11-06,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",ARPA
spot,IOTXUSDT,2019-11-14,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",IOTX
spot,RLCUSDT,2019-11-14,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",RLC
spot,BCHUSDT,2019-11-28,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",BCH
spot,TROYUSDT,2019-12-05,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",TROY
spot,FTTUSDT,2019-12-20,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",FTT
spot,OGNUSDT,2020-01-09,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",OGN
spot,BNTUSDT,2020-02-06,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",BNT
spot,LSKUSDT,2020-02-06,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",LSK
spot,COTIUSDT,2020-02-26,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",COTI
spot,STPTUSDT,2020-03-25,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",STPT
spot,CTSIUSDT,2020-04-23,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",CTSI
spot,HIVEUSDT,2020-04-27,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",HIVE
spot,CHRUSDT,2020-05-07,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",CHR
spot,MDTUSDT,2020-06-05,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",MDT
spot,KNCUSDT,2020-06-12,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",KNC
spot,LRCUSDT,2020-06-12,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",LRC
spot,COMPUSDT,2020-06-25,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",COMP
spot,SCUSDT,2020-07-06,"12h,15m,1d,1h,1m,1s,2h,30m,3m,4h,5m,6h,8h",SC
